c01  clill
c02  dind
c03  floist
c04  gruld
c05  preel
c06  quex
c07  sonce
c08  stoon
d01  beesya
d02  dwoufy
d03  nifthay
d04  pustigh
d05  sibbja
d06  thuchaw
d07  yaisfa
d08  zhifmoo
q01  bontapreesh
q02  drellymup
q03  fuscaydrask
q04  luspygronk
q05  queelascose
q06  skerdaclinn
q07  trullayswadge
q08  yoondysterce
r01  buspahshoamf
r02  dwuthaypwibe
r03  nuvzightwadh
r04  shilnighjaimf
r05  thaizbyzloit
r06  wubbjygwoash
r07  yivvawzerln
r08  zidnoythailve
s01  chuffthoogress
s02  jicrayskack
s03  pikwighdreen
s04  shydwacront
s05  thishtayqueeld
s06  wudnahprack
s07  yupmoystite
s08  zutfowtrell
